name,meanRngeFlt,hue,sat,meanG,integrated density,medianG,medLum,meanLum,,,
baconEggCheese.jpg',32.429468,0.154898141,0.392697137,154.353,38588174,161,174,162.958,,,
bagel.jpg',22.03100267,0.134569266,0.318891227,171.227,42806872,182,186,174.432,,,
barbequeChickenCorn.jpg',32.20223733,0.385163204,0.312402304,162.99,40747461,189,196,165.058,,,
beefJerky.jpg',28.86087333,0.396531749,0.425242295,88.249,22062292,76,71,87.721,,,
beefStroganoff.jpg',21.71117867,0.124072787,0.549673132,117.666,29416608,117,127,125.999,,,
blackBeansRice.jpg',29.260748,0.161352312,0.240956181,113.815,28453839,108,111,116.71,,,
BLT.jpg',25.152712,0.197649378,0.527423628,136.785,34196226,133,147,145.364,,,
bologneSandwhich.jpg',12.46911867,0.343929612,0.310243898,122.155,30538799,152,154,122.121,,,
broccoliCauliflower.jpg',36.77907467,0.215924831,0.499132304,125.071,31267770,126,150,138.591,,,
broccoliCheddarSoup.jpg',24.72236933,0.184825911,0.497727654,169.872,42467951,184,204,186.731,,,
brusselSprouts.jpg',50.290604,0.184417841,0.641035589,73.508,18377097,61,70,84.234,,,
burrito2.jpg',24.53188533,0.326445502,0.316811988,127.482,31870555,124,130,130.536,,,
calamari.jpg',23.14355333,0.297280896,0.414235732,143.634,35908589,162,171,150.447,,,
capreseSalad.jpg',29.19591733,0.313861336,0.466522308,134.107,33526678,132,139,137.777,,,
cheeseCrackers.jpg',12.56740667,0.242795522,0.323494466,178.678,44669389,190,200,184.429,,,
cheeseNachos.jpg',13.361128,0.266922365,0.46415892,128.35,32087377,129,147,139.756,,,
chickenAndDumplings.jpg',29.18580267,0.245769768,0.380861553,153.892,38472960,156,162,158.425,,,
chickenCaesar.jpg',35.76886933,0.176623422,0.328200175,169.662,42415625,182,191,179.493,,,
chickenNoodleSoup.jpg',27.64732933,0.109312748,0.580494971,143.515,35878855,140,155,155.094,,,
chickenParm.jpg',26.977408,0.13243882,0.531739059,156.084,39021105,173,189,166.121,,,
chickenPotPie.jpg',22.47070267,0.198480749,0.455553053,148.698,37174605,152,164,160.667,,,
chickenRice.jpg',35.39912267,0.180572729,0.545583402,123.045,30761197,122,132,130.796,,,
chickenSalad.jpg',23.973092,0.282376414,0.251222253,148.766,37191603,157,160,152.54,,,
chickenSalad2.jpg',26.99331733,0.15880528,0.304968531,168.939,42234631,180,192,177.618,,,
chickenTeriyakiRiceBroccoli.jpg',27.68316533,0.146833672,0.566725329,136.928,34232028,135,153,147.958,,,
chickenWafflesGood.jpg',25.37085467,0.261516469,0.420909595,158.309,39577287,169,180,163.418,,,
chilli.jpg',22.70177333,0.113263071,0.584037192,123.797,30949205,113,121,130.683,,,
chipsAndDIp.jpg',18.640672,0.145698803,0.495181822,162.442,40610552,171,187,175.236,,,
chipsAndDip2.jpg',20.83663867,0.416179661,0.335228273,169.727,42431766,183,187,169.833,,,
clamChowder.jpg',21.309036,0.260733472,0.309521459,134.691,33672709,146,154,140.829,,,
clams.jpg',43.860616,0.204222684,0.394459619,130.861,32715190,130,141,136.813,,,
cocktailShrimp.jpg',16.22144267,0.26963953,0.421320426,134.86,33715037,140,141,134.878,,,
coleSlaw2.jpg',22.900128,0.436520829,0.279458842,151.002,37750547,158,161,153.949,,,
coleslaw3.jpg',25.39615467,0.218252121,0.296713681,166.842,41710445,176,188,174.241,,,
cornbread.jpg',22.13412133,0.254414602,0.476527636,164.659,41164745,162,182,178.944,,,
cornCob.jpg',26.46306,0.181656424,0.52128254,117.641,29410160,114,122,125.209,,,
cornedBeefDinner.jpg',25.06298133,0.134130829,0.462316011,108.492,27122937,99,107,114.319,,,
cornedBeefHash.jpg',36.52737333,0.361462709,0.387644403,125.732,31433009,115,115,125.216,,,
crab.jpg',42.61320267,0.161683504,0.528562289,122.935,30733635,112,114,125.746,,,
